abitare	Indicativo	Presente	1s	abito
abitare	Indicativo	Presente	2s	abiti
abitare	Indicativo	Presente	3s	abita
abitare	Indicativo	Presente	1p	abitiamo
abitare	Indicativo	Presente	2p	abitate
abitare	Indicativo	Presente	3p	abitano
abitare	Indicativo	Passato Prossimo	1s	ho abitato
abitare	Indicativo	Passato Prossimo	2s	hai abitato
abitare	Indicativo	Passato Prossimo	3s	ha abitato
abitare	Indicativo	Passato Prossimo	1p	abbiamo abitato
abitare	Indicativo	Passato Prossimo	2p	avete abitato
abitare	Indicativo	Passato Prossimo	3p	hanno abitato
abitare	Indicativo	Imperfetto	1s	abitavo
abitare	Indicativo	Imperfetto	2s	abitavi
abitare	Indicativo	Imperfetto	3s	abitava
abitare	Indicativo	Imperfetto	1p	abitavamo
abitare	Indicativo	Imperfetto	2p	abitavate
abitare	Indicativo	Imperfetto	3p	abitavano
abitare	Indicativo	Trapassato Prossimo	1s	avevo abitato
abitare	Indicativo	Trapassato Prossimo	2s	avevi abitato
abitare	Indicativo	Trapassato Prossimo	3s	aveva abitato
abitare	Indicativo	Trapassato Prossimo	1p	avevamo abitato
abitare	Indicativo	Trapassato Prossimo	2p	avevate abitato
abitare	Indicativo	Trapassato Prossimo	3p	avevano abitato
abitare	Indicativo	Passato Remoto	1s	abitai
abitare	Indicativo	Passato Remoto	2s	abitasti
abitare	Indicativo	Passato Remoto	3s	abitò
abitare	Indicativo	Passato Remoto	1p	abitammo
abitare	Indicativo	Passato Remoto	2p	abitaste
abitare	Indicativo	Passato Remoto	3p	abitarono
abitare	Indicativo	Futuro Semplice	1s	abiterò
abitare	Indicativo	Futuro Semplice	2s	abiterai
abitare	Indicativo	Futuro Semplice	3s	abiterà
abitare	Indicativo	Futuro Semplice	1p	abiteremo
abitare	Indicativo	Futuro Semplice	2p	abiterete
abitare	Indicativo	Futuro Semplice	3p	abiteranno
abitare	Indicativo	Futuro Anteriore	1s	avrò abitato
abitare	Indicativo	Futuro Anteriore	2s	avrai abitato
